object_id,mjd_peak,mag_peak,plot_path
ZTF23abkixdb,60247.1691435,17.7134895,data/plots_with_peak_time/ZTF23abkixdb.png
ZTF19aarioci,58619.2890509,17.656271,data/plots_with_peak_time/ZTF19aarioci.png
ZTF19accmaxo,58435.1169676,18.0404415,data/plots_with_peak_time/ZTF19accmaxo.png
ZTF22abkfhua,59970.1104282,17.2863083,data/plots_with_peak_time/ZTF22abkfhua.png
ZTF19aaniqrr,58593.4306597,18.828476,data/plots_with_peak_time/ZTF19aaniqrr.png
ZTF24abdmewj,59707.4840278,15.7058172,data/plots_with_peak_time/ZTF24abdmewj.png
ZTF25aafwfzz,60731.535786999855,18.256036186464677,data/plots_with_peak_time/ZTF25aafwfzz.png
ZTF18acpdvos,58435.5248611,15.9695635,data/plots_with_peak_time/ZTF18acpdvos.png
ZTF22aaabqko,59600.30432870006,18.50705690460561,data/plots_with_peak_time/ZTF22aaabqko.png
ZTF24abfaake,60574.499259300064,18.24449239944183,data/plots_with_peak_time/ZTF24abfaake.png
ZTF21aauuybx,59328.39758099988,18.661816479479445,data/plots_with_peak_time/ZTF21aauuybx.png
ZTF18aabuoxd,60311.4951968,17.2614365,data/plots_with_peak_time/ZTF18aabuoxd.png
ZTF25abcemrc,60888.31165509997,19.57722707209096,data/plots_with_peak_time/ZTF25abcemrc.png
ZTF20acnznms,59200.5179051,18.2174854,data/plots_with_peak_time/ZTF20acnznms.png
ZTF17aaazdba,58567.145625,14.7505722,data/plots_with_peak_time/ZTF17aaazdba.png
ZTF22aaabovl,59623.34806710016,18.00933216665922,data/plots_with_peak_time/ZTF22aaabovl.png
ZTF24abwsfdk,59498.5358796,18.9230194,data/plots_with_peak_time/ZTF24abwsfdk.png
ZTF21aapvvtb,59306.47140049981,18.870095984364195,data/plots_with_peak_time/ZTF21aapvvtb.png
ZTF21aabiipy,59267.1355671,18.6882954,data/plots_with_peak_time/ZTF21aabiipy.png
ZTF25aagfhmz,59263.2390856,17.9550705,data/plots_with_peak_time/ZTF25aagfhmz.png
ZTF20abwtifz,60352.1237731,15.9644232,data/plots_with_peak_time/ZTF20abwtifz.png
ZTF20aajcmkk,58833.4955556,17.9075623,data/plots_with_peak_time/ZTF20aajcmkk.png
ZTF23abvzeqp,60341.2140162,19.1057205,data/plots_with_peak_time/ZTF23abvzeqp.png
ZTF23abgnxfv,60221.5189699,17.111702,data/plots_with_peak_time/ZTF23abgnxfv.png
ZTF19acspeuw,58833.4955556,17.9075623,data/plots_with_peak_time/ZTF19acspeuw.png
ZTF22abukkio,59900.4042361,16.2222748,data/plots_with_peak_time/ZTF22abukkio.png
ZTF25aafofcs,60753.38108799979,17.15209667553779,data/plots_with_peak_time/ZTF25aafofcs.png
ZTF23aaqdjhi,60134.239490699954,15.676340647277645,data/plots_with_peak_time/ZTF23aaqdjhi.png
ZTF25aacnkte,59967.1460648,17.521637,data/plots_with_peak_time/ZTF25aacnkte.png
ZTF24abfuwbm,59900.3761921,17.7787056,data/plots_with_peak_time/ZTF24abfuwbm.png
ZTF20abgwfek,59037.18938660016,17.300311163896,data/plots_with_peak_time/ZTF20abgwfek.png
ZTF21abbxhhx,59352.4046412,18.7878971,data/plots_with_peak_time/ZTF21abbxhhx.png
ZTF18aahqkbt,59900.4042361,16.2222748,data/plots_with_peak_time/ZTF18aahqkbt.png
ZTF25aaplxiz,59708.3232639,18.8662281,data/plots_with_peak_time/ZTF25aaplxiz.png
ZTF22aaahtqz,58850.3809954,16.2203407,data/plots_with_peak_time/ZTF22aaahtqz.png
ZTF22abegjtx,59900.2320833,16.5684967,data/plots_with_peak_time/ZTF22abegjtx.png
ZTF20abisysx,59070.1937963,16.6128883,data/plots_with_peak_time/ZTF20abisysx.png
ZTF21abaxaqq,60073.4895949,17.9615555,data/plots_with_peak_time/ZTF21abaxaqq.png
ZTF19aakswrb,58539.3719213,18.1806946,data/plots_with_peak_time/ZTF19aakswrb.png
ZTF23abaujuy,60213.1889005,17.9053993,data/plots_with_peak_time/ZTF23abaujuy.png
ZTF22aabimec,59640.2404977,18.1183586,data/plots_with_peak_time/ZTF22aabimec.png
ZTF21abhrchb,59404.41964119999,18.18596214441889,data/plots_with_peak_time/ZTF21abhrchb.png
ZTF18aabtxvd,58204.2239583,17.4615936,data/plots_with_peak_time/ZTF18aabtxvd.png
ZTF18abxnvoz,60548.3829282,16.0599499,data/plots_with_peak_time/ZTF18abxnvoz.png
ZTF20aahmtso,59229.2414931,15.8095322,data/plots_with_peak_time/ZTF20aahmtso.png
ZTF21aakfqwq,59274.3803819,18.6529026,data/plots_with_peak_time/ZTF21aakfqwq.png
ZTF19aapreis,58642.4813657,16.6603699,data/plots_with_peak_time/ZTF19aapreis.png
ZTF18abxftqm,58431.3327199,17.7542515,data/plots_with_peak_time/ZTF18abxftqm.png
ZTF22aaaedas,59600.43109950004,18.742556168784372,data/plots_with_peak_time/ZTF22aaaedas.png
ZTF20accxwrk,59229.2654398,16.958046,data/plots_with_peak_time/ZTF20accxwrk.png
ZTF21aanxhjv,59312.1349769,15.6259727,data/plots_with_peak_time/ZTF21aanxhjv.png
ZTF23aamsetv,60118.4532986,18.8520813,data/plots_with_peak_time/ZTF23aamsetv.png
ZTF22aadgefj,59673.3894444,17.5864601,data/plots_with_peak_time/ZTF22aadgefj.png
ZTF18aabdajx,59639.3002662,16.2615356,data/plots_with_peak_time/ZTF18aabdajx.png
ZTF22aadesap,59778.26665510005,17.207638875460475,data/plots_with_peak_time/ZTF22aadesap.png
ZTF25aaknwwy,58280.3529282,17.7528934,data/plots_with_peak_time/ZTF25aaknwwy.png
ZTF24abiqyej,60550.3857523,16.0814056,data/plots_with_peak_time/ZTF24abiqyej.png
ZTF20aabqihu,59503.1144329,17.8305283,data/plots_with_peak_time/ZTF20aabqihu.png
ZTF24aasteui,60483.4351505,17.9978962,data/plots_with_peak_time/ZTF24aasteui.png
ZTF24abyhjvc,60690.47020829981,17.84400471726328,data/plots_with_peak_time/ZTF24abyhjvc.png
ZTF22aafvrnw,59786.27902780008,17.556679386449066,data/plots_with_peak_time/ZTF22aafvrnw.png
ZTF23abohtqf,60262.4723264,18.0958977,data/plots_with_peak_time/ZTF23abohtqf.png
ZTF25aajmtzs,59902.5437731,19.0299568,data/plots_with_peak_time/ZTF25aajmtzs.png
ZTF21aajmdui,59069.4231944,16.9702873,data/plots_with_peak_time/ZTF21aajmdui.png
ZTF24aaoxmyb,60499.3323264,18.0039482,data/plots_with_peak_time/ZTF24aaoxmyb.png
ZTF20acitpfz,59151.4490625,16.9261055,data/plots_with_peak_time/ZTF20acitpfz.png
ZTF21abxngcz,59509.4121991,18.7962704,data/plots_with_peak_time/ZTF21abxngcz.png
ZTF21aaaokyp,59254.4453125,18.432064129050524,data/plots_with_peak_time/ZTF21aaaokyp.png
ZTF24abmybnp,58850.3795833,16.5819664,data/plots_with_peak_time/ZTF24abmybnp.png
ZTF25aajfjhm,58854.4308681,16.9452324,data/plots_with_peak_time/ZTF25aajfjhm.png
ZTF21abmwftm,59439.364919,18.8928146,data/plots_with_peak_time/ZTF21abmwftm.png
ZTF25aagevje,60755.257696799934,17.871373448664578,data/plots_with_peak_time/ZTF25aagevje.png
