objectId,ra,decl,tns_name,tns_prefix,disc_mag,disc_mag_filter,type,z,hostz,host_name,ext_catalogs,disc_int_name,disc_date,lastmodified_date,sender,reporters,source_group,htm16,lasairmodified_date,id
ZTF24aatxshz,273.52580,36.2499152,2024qab,TDE,20.824,,TDE,0.1398,None,None,None,"ZTF24aatxshz, ATLAS24lsw, GOTO24dts","June 15, 2024, 9 a.m.","Jan. 26, 2025, 7:40 a.m.",ZTF,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU)...",ZTF,54253936305,"May 5, 2025, 10:14 a.m.",24365
ZTF24aasteui,355.11583,-7.01435,2024mvz,TDE,18.180,,TDE-H-He,0.08,None,None,None,"Gaia24bny, ZTF24aasteui","May 25, 2024, 12:01 p.m.","Jan. 26, 2025, 7:40 a.m.",GaiaAlerts,"S.T. Hodgkin, E. Breedt, A. Delgado, D.L. Harrison, M. van Leeuwen, G. Rixo...",GaiaAlerts,49615083374,"May 5, 2025, 10:14 a.m.",24371
ZTF24aaoxmyb,252.72575,32.8767250562,2024lhc,TDE,20.927,,TDE,0.2045,None,None,None,"ZTF24aaoxmyb, PS20nxv, ATLAS24jvc, GOTO24dlg","May 1, 2024, 8:47 a.m.","Jan. 26, 2025, 7:40 a.m.",ZTF,"Nabeel Rehemtulla (CIERA, NU), Christoffer Fremling (Caltech), Daniel Perle...",ZTF,56205673217,"May 5, 2025, 10:14 a.m.",24611
ZTF24aakaiha,260.63599,18.2328344,2024gxr,TDE,19.389,,TDE-He,0.051,None,None,None,ZTF24aakaiha,"April 17, 2024, 9:07 a.m.","Jan. 26, 2025, 7:40 a.m.",ZTF,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU)...",ZTF,56825887784,"May 5, 2025, 10:14 a.m.",24614
ZTF24aajvvhj,157.91205,34.9083344191,2024gre,TDE,20.207,,TDE,0.12,None,None,None,"ZTF24aajvvhj, ATLAS24gie, PS24cev","April 12, 2024, 7:41 a.m.","Jan. 26, 2025, 7:40 a.m.",ALeRCE,"A. Munoz-Arancibia, F.E. Bauer, F. Forster, G. Pignata, A. Mourao, L. Herna...",ZTF,64044815031,"May 5, 2025, 10:14 a.m.",24617
ZTF24aahgxiz,146.31497,6.6634876,2024eqp,TDE,20.360,,TDE,0.33,None,None,None,"ZTF24aahgxiz, ATLAS24goi","March 11, 2024, 6:05 a.m.","Jan. 26, 2025, 7:40 a.m.",ZTF,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) coll...,ZTF,60918454004,"May 5, 2025, 10:14 a.m.",24620
ZTF24aaecooj,146.01988,-4.201369,2024bgz,TDE,18.190,,TDE,0.0585,None,None,None,"ZTF24aaecooj, Gaia24beb, BGEM J094404.78-041204.8","Feb. 1, 2024, 6:04 a.m.","Jan. 26, 2025, 7:40 a.m.",ZTF,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) coll...,ZTF,41295829494,"May 5, 2025, 10:14 a.m.",24626
ZTF24aaahxwr,151.27633,17.489181,2024as,TDE,18.371,,TDE,0.13,None,None,None,"ATLAS24acr, Gaia24acj, ZTF24aaahxwr","Jan. 2, 2024, 8:20 a.m.","Jan. 26, 2025, 7:40 a.m.",ATLAS,"J. Tonry, L. Denneau, H. Weiland, A. Lawrence, R. Siverd (IfA, University o...",ATLAS,60863745956,"May 5, 2025, 10:14 a.m.",24635
ZTF23abvzeqp,101.93146,40.9687458058,2024kt,TDE,19.800,,TDE,0.11,None,None,None,"ZTF23abvzeqp, PS24im, ATLAS24bbj","Jan. 5, 2024, 6:18 a.m.","Jan. 26, 2025, 7:40 a.m.",ALeRCE,"A. Munoz-Arancibia, G. Pignata, F.E. Bauer, F. Forster, A. Mourao, L. Herna...",ZTF,63378919755,"May 5, 2025, 10:14 a.m.",24632
ZTF23abohtqf,118.05283,37.3594855,2023xen,TDE,20.940,,TDE,0.1335,None,None,None,"ZTF23abohtqf, ATLAS23vko","Oct. 21, 2023, 10:43 a.m.","Jan. 26, 2025, 7:40 a.m.",ZTF,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) coll...,ZTF,63441488553,"May 5, 2025, 10:14 a.m.",24458
ZTF23abkixdb,276.33715,30.1892942,2023wdb,TDE,20.490,,TDE,0.06,None,None,None,ZTF23abkixdb,"Oct. 10, 2023, 4:49 a.m.","Jan. 26, 2025, 7:40 a.m.",ZTF,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) coll...,ZTF,54463370023,"May 5, 2025, 10:14 a.m.",24461
ZTF23abgnxfv,139.77454,13.448,2023tmq,TDE,18.325,,TDE,None,None,None,None,"ZTF23abgnxfv, Gaia23crk, PS23lkc","Sept. 24, 2023, 12:27 p.m.","Jan. 26, 2025, 7:40 a.m.",ALeRCE,"F. Forster, F.E. Bauer, G. Pignata, A. Munoz-Arancibia, A. Mourao, R. Dasti...",ZTF,63868143602,"May 5, 2025, 10:14 a.m.",24467
ZTF23abaujuy,290.30228,-22.64433485,2023rvb,TDE,19.644,,TDE,0.0815,None,None,None,"ZTF23abaujuy, ATLAS23spi","Sept. 4, 2023, 4:02 a.m.","Jan. 26, 2025, 7:40 a.m.",ALeRCE,"A. Munoz-Arancibia, G. Pignata, F.E. Bauer, F. Forster, A. Mourao, L. Herna...",ZTF,48105132364,"May 5, 2025, 10:14 a.m.",24470
ZTF23aaqdjhi,205.81534,19.2502509,2023mhs,TDE,18.777,,TDE,0.0482,None,None,None,"ZTF23aaqdjhi, ATLAS23njv","June 30, 2023, 7:12 a.m.","Jan. 26, 2025, 7:40 a.m.",ZTF,Jesper Sollerman on behalf of the ZTF project,ZTF,58322345510,"May 5, 2025, 10:14 a.m.",24473
ZTF23aapyidj,324.36650,-4.34532166451,2023mfm,TDE,19.880,,TDE,0.087,None,None,None,"ZTF23aapyidj, PS23fqo","June 28, 2023, 9:34 a.m.","Jan. 26, 2025, 7:40 a.m.",ZTF,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) coll...,ZTF,49705999408,"May 5, 2025, 10:14 a.m.",24476
ZTF23aamsetv,354.94985,8.1648956,2023kvy,TDE,19.352,,TDE,0.16,None,None,None,"ATLAS23mok, ZTF23aamsetv","May 28, 2023, 3:58 a.m.","Jan. 26, 2025, 7:40 a.m.",ATLAS,"J. Tonry, L. Denneau, H. Weiland, A. Lawrence, R. Siverd (IfA, University o...",ATLAS,51785859943,"May 5, 2025, 10:14 a.m.",24482
ZTF23aadcbay,288.60700,41.6692434,2023cvb,TDE,17.330,,TDE,0.071,None,None,None,"ATLAS23dht, ZTF23aadcbay","March 6, 2023, 2:47 p.m.","Jan. 26, 2025, 7:40 a.m.",ATLAS,"J. Tonry, L. Denneau, H. Weiland, A. Lawrence, R. Siverd (IfA, University o...",ATLAS,55007662864,"May 5, 2025, 10:14 a.m.",24638
ZTF22abukkio,123.86092,45.592208,2018bsi,TDE,18.190,,TDE,0.051,None,None,None,ZTF18aahqkbt,"April 9, 2018, 5:05 a.m.","Jan. 26, 2025, 7:40 a.m.",ZTF,"C. Fremling (Caltech), K. Taggart (LJMU) on behalf of the Zwicky Transient ...",ZTF,63531897410,"May 5, 2025, 10:14 a.m.",24566
ZTF22abkfhua,350.84907,10.6855533611,2022wtn,TDE,19.570,,TDE,0.049,None,None,None,"ZTF22abkfhua, PS22jwq, ATLAS22bikj","Oct. 2, 2022, 6:07 a.m.","Jan. 26, 2025, 7:40 a.m.",ZTF,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) coll...,ZTF,51755552463,"May 5, 2025, 10:14 a.m.",24491
ZTF22abegjtx,5.98686,-14.4231166,2022upj,TDE,19.860,,TDE,0.054,None,None,None,"ZTF22abegjtx, ATLAS22bfuo","Aug. 31, 2022, 9:04 a.m.","Jan. 26, 2025, 7:40 a.m.",ZTF,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) coll...,ZTF,34454137092,"May 5, 2025, 10:14 a.m.",24494
ZTF22abegjtx,5.98686,-14.4231166,2022upj,TDE,19.860,,TDE,0.054,None,None,None,"ZTF22abegjtx, ATLAS22bfuo","Aug. 31, 2022, 9:04 a.m.","Jan. 26, 2025, 7:40 a.m.",ZTF,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) coll...,ZTF,34454137092,"May 5, 2025, 10:14 a.m.",24494
ZTF22abajudi,35.03337,-22.7209499013,2022lri,TDE,17.199,,TDE,0.03275,None,None,None,"ATLAS22pnz, PS22hiq, ZTF22abajudi","June 1, 2022, 3:45 a.m.","Jan. 26, 2025, 7:40 a.m.",ATLAS,"J. Tonry, L. Denneau, H. Weiland (IfA, University of Hawaii), N. Erasmus, W...",ATLAS,37977693781,"May 5, 2025, 10:14 a.m.",24500
ZTF22aavvqyh,25.48146,-3.289611,2022pna,TDE,18.677,,TDE,0.095,None,None,None,"ATLAS22wax, ZTF22aavvqyh, Gaia22dgl","July 24, 2022, 2:21 p.m.","Jan. 26, 2025, 7:40 a.m.",ATLAS,"J. Tonry, L. Denneau, H. Weiland, A. Lawrence, R. Siverd (IfA, University o...",ATLAS,34969180364,"May 5, 2025, 10:14 a.m.",24497
ZTF22aaigqsr,257.67744,28.8375296127,2024tvd,TDE,19.683,,TDE,0.044938,None,None,None,"ZTF22aaigqsr, PS24iyu","Aug. 25, 2024, 4:05 a.m.","Jan. 26, 2025, 7:40 a.m.",ZTF,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU)...",ZTF,56316319125,"May 5, 2025, 10:14 a.m.",24359
ZTF22aagyuao,148.68850,55.440381,2022hvp,TDE,17.961,,TDE,0.12,None,None,None,"ZTF22aagyuao, ATLAS22mlo, Gaia22clk","April 19, 2022, 6:43 a.m.","Jan. 26, 2025, 7:40 a.m.",ALeRCE,"A. Munoz-Arancibia, F.E. Bauer, F. Forster, G. Pignata, A. Mourao, L. Herna...",ZTF,61937267790,"May 5, 2025, 10:14 a.m.",24377
ZTF22aagvrlq,267.64910,21.274978848,2022ibq,TDE,20.270,,TDE,0.395,None,None,None,"ZTF22aagvrlq, PS22ext","April 1, 2022, noon","Jan. 26, 2025, 7:40 a.m.",ZTF,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) coll...,ZTF,56777637896,"May 5, 2025, 10:14 a.m.",24374
ZTF22aafvrnw,262.46046,25.8422,2022exr,TDE,18.397,,TDE,0.096,None,None,None,"ATLAS22jix, ZTF22aadgefj, Gaia22cgf","March 20, 2022, 2:41 p.m.","Jan. 26, 2025, 7:40 a.m.",ATLAS,"J. Tonry, L. Denneau, H. Weiland (IfA, University of Hawaii), A. Heinze, B....",ATLAS,56283532958,"May 5, 2025, 10:14 a.m.",24389
ZTF22aafujzv,232.76542,53.40535,2022fpx,TDE,18.542,,TDE,0.073,None,None,None,"ATLAS22kjn, ZTF22aadesap, Gaia22cwy, PS23bdt","March 31, 2022, 12:28 p.m.","Jan. 26, 2025, 7:40 a.m.",ATLAS,"J. Tonry, L. Denneau, H. Weiland (IfA, University of Hawaii), A. Heinze, B....",ATLAS,59669663425,"May 5, 2025, 10:14 a.m.",24386
ZTF22aafujzv,232.76542,53.40535,2022fpx,TDE,18.542,,TDE,0.073,None,None,None,"ATLAS22kjn, ZTF22aadesap, Gaia22cwy, PS23bdt","March 31, 2022, 12:28 p.m.","Jan. 26, 2025, 7:40 a.m.",ATLAS,"J. Tonry, L. Denneau, H. Weiland (IfA, University of Hawaii), A. Heinze, B....",ATLAS,59669663425,"May 5, 2025, 10:14 a.m.",24386
ZTF22aaftmjp,208.49258,50.0417637,2022gdw,TDE,19.308,,TDE,0.105,None,None,None,ZTF22aaddwbo,"April 3, 2022, 7:52 a.m.","Jan. 26, 2025, 7:40 a.m.",ALeRCE,"F. Forster, A. Munoz-Arancibia, F.E. Bauer, G. Pignata, A. Mourao, R. Dasti...",ZTF,59219520373,"May 5, 2025, 10:14 a.m.",24383
