,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid,flux,timedays,simulated_flux,simulated_mag,original_mag
56,793110400000661,47635207,2458230.8542901226,58230.3520718,19.5141258,0.0944272056,0,zg,226.8302117,55.7471855,0.842000008,-0.0120000001,20180422352060,793,0xa,0x4,21.8299999,26.279356,0.0271774046,-0.097343266,1.51909671e-05,30,1.07599998,2,0.05680017581557105,58230.3520718,0.05680017581557105,19.514125799999995,19.514125799999995
57,793110400000661,47636744,2458230.8696601843,58230.3674421,19.5295029,0.0955411792,0,zg,226.8301734,55.7471907,0.751999974,0.00999999978,20180422367431,793,0xa,0x4,21.9099998,26.2617607,0.0267762244,-0.0819287673,1.46998836e-05,30,1.074,2,0.05600139429630371,58230.3674421,0.05600139429630371,19.529502900000004,19.529502900000004
58,793110400000661,47639246,2458230.894682997,58230.3924653,19.4095154,0.0871518627,0,zg,226.8301901,55.7471454,1.20899999,-0.0520000011,20180422392465,793,0xa,0x4,21.4899998,26.0647812,0.0337055698,-0.0819460228,2.3346347e-05,30,1.08299994,2,0.06254517903188059,58230.3924653,0.06254517903188059,19.409515399999997,19.409515399999997
59,793110400000661,47738788,2458231.8900837745,58231.3878819,19.5000381,0.0934168249,0,zg,226.8301714,55.7472072,1.84200001,0.0489999987,20180423387836,793,0xa,0x4,21.6100006,26.2701931,0.0310171284,-0.0559409298,2.00742124e-05,30,1.08200002,3,0.057541974470026507,58231.3878819,0.057541974470026507,19.500038100000005,19.500038100000005
60,793110400000661,47738879,2458231.890998163,58231.3887963,19.5177784,0.094690755,0,zg,226.8301772,55.7471692,0.879999995,0.0680000037,20180423388785,793,0xa,0x4,21.5699997,26.2739334,0.030978594,-0.0534404851,1.98290181e-05,30,1.08200002,2,0.056609411490822305,58231.3887963,0.056609411490822305,19.517778400000005,19.517778400000005
61,793110400000661,47741336,2458231.915569559,58231.4133681,19.5374813,0.0961235985,0,zg,226.8300759,55.7472086,0.465999991,0.00800000038,20180423413345,793,0xa,0x4,21.5200005,26.2677021,0.0319530964,-0.0548057035,2.10637718e-05,30,1.10399997,2,0.05559138318789367,58231.4133681,0.05559138318789367,19.537481300000003,19.537481300000003
62,793110400000661,47743489,2458231.9370969003,58231.4348958,19.637825,0.103715368,0,zg,226.8301773,55.7472419,0.72299999,-0.0430000015,20180423434861,793,0xa,0x4,21.5200005,26.2611122,0.0301416647,-0.0559316017,1.89146176e-05,30,1.13600004,2,0.05068389703840175,58231.4348958,0.05068389703840175,19.637825,19.637825
63,793110400000661,47826663,2458232.768819299,58232.2666319,19.3910275,0.0859202892,0,zg,226.8301901,55.7472759,0.95599997,-0.112999998,20180424266597,793,0xa,0x4,20.3600006,26.1054173,0.0398135334,-0.0672791079,5.0778046e-05,30,1.17299998,3,0.0636193166591528,58232.2666319,0.0636193166591528,19.3910275,19.3910275
64,793110400000661,47826956,2458232.771747563,58232.2695602,19.4633999,0.0908337831,0,zg,226.830206,55.7471453,0.368000001,-0.0579999983,20180424269514,793,0xa,0x4,20.9300003,26.2507706,0.034252245,-0.0853332356,2.62058784e-05,30,1.16600001,1,0.05951686403390252,58232.2695602,0.05951686403390252,19.463399900000006,19.463399900000006
65,793110400000661,47827052,2458232.772708143,58232.2705208,19.5527763,0.0972489864,0,zg,226.8301189,55.747204,0.662,0.0419999994,20180424270486,793,0xa,0x4,20.9400005,26.2491531,0.0372955687,-0.0728529468,3.18164348e-05,30,1.16400003,2,0.05481374562162554,58232.2705208,0.05481374562162554,19.552776299999998,19.552776299999998
